 INFLUENZA PANDÊMICA - Sinan - Brasil
Freqüência por Município de notificação e Síndrome Gripal
Período:2009-2010
"Município de notificação";"Ign/Branco";"Sim";"Não";"Total"
"316490 SAO SEBASTIAO DO RIO VERDE";1;-;-;1
"316540 SAPUCAI-MIRIM";1;-;-;1
"316553 SARZEDO";9;-;1;10
"316610 SENHORA DO PORTO";1;-;-;1
"316620 SENHORA DOS REMEDIOS";1;-;-;1
"316720 SETE LAGOAS";93;3;6;102
"316810 TAPIRA";1;-;-;1
"316860 TEOFILO OTONI";10;1;-;11
"316870 TIMOTEO";5;-;-;5
"316880 TIRADENTES";1;-;-;1
"316890 TIROS";1;-;-;1
"316930 TRES CORACOES";68;2;12;82
"316935 TRES MARIAS";3;-;-;3
"316940 TRES PONTAS";98;-;2;100
"316960 TUPACIGUARA";6;-;-;6
"316990 UBA";42;-;3;45
"317010 UBERABA";147;8;9;164
"317020 UBERLANDIA";179;18;15;212
"317040 UNAI";4;-;-;4
"317070 VARGINHA";76;3;7;86
"317120 VESPASIANO";7;-;-;7
"317130 VICOSA";26;1;5;32
"317170 VIRGINIA";1;-;-;1
"317200 VISCONDE DO RIO BRANCO";14;1;-;15
"320040 ANCHIETA";1;-;-;1
"320060 ARACRUZ";3;-;1;4
"320080 BAIXO GUANDU";1;-;-;1
"320090 BARRA DE SAO FRANCISCO";1;-;-;1
"320120 CACHOEIRO DE ITAPEMIRIM";54;1;5;60
"320130 CARIACICA";10;-;3;13
"320140 CASTELO";3;-;1;4
"320150 COLATINA";5;-;-;5
"320170 CONCEICAO DO CASTELO";2;-;-;2
"320210 ECOPORANGA";2;-;-;2
"320220 FUNDAO";-;1;-;1
"320240 GUARAPARI";2;1;-;3
"320280 ITAPEMIRIM";2;1;-;3
"320300 IUNA";4;-;-;4
"320310 JERONIMO MONTEIRO";2;-;-;2
"320313 JOAO NEIVA";2;-;-;2
"320320 LINHARES";24;1;5;30
"320330 MANTENOPOLIS";6;-;-;6
"320332 MARATAIZES";2;-;-;2
"320340 MIMOSO DO SUL";12;-;-;12
"320400 PANCAS";2;-;-;2
"320455 SANTA MARIA DE JETIBA";2;-;-;2
"320460 SANTA TERESA";4;2;-;6
"320470 SAO GABRIEL DA PALHA";-;1;-;1
"320480 SAO JOSE DO CALCADO";2;-;-;2
"320490 SAO MATEUS";2;-;-;2
"320500 SERRA";72;53;8;133
"320503 VARGEM ALTA";1;-;-;1
"320506 VENDA NOVA DO IMIGRANTE";4;-;-;4
"320520 VILA VELHA";46;9;5;60
"320530 VITORIA";123;12;13;148
"330010 ANGRA DOS REIS";66;14;-;80
"330015 APERIBE";2;-;-;2
"330020 ARARUAMA";10;6;1;17
"330022 AREAL";6;-;-;6
"330023 ARMACAO DOS BUZIOS";4;1;-;5
"330025 ARRAIAL DO CABO";10;1;-;11
"330030 BARRA DO PIRAI";6;1;-;7
"330040 BARRA MANSA";8;1;1;10
"330045 BELFORD ROXO";19;9;-;28
"330060 BOM JESUS DO ITABAPOANA";14;-;-;14
"330070 CABO FRIO";28;1;-;29
"330080 CACHOEIRAS DE MACACU";7;1;-;8
"330093 CARAPEBUS";7;-;-;7
"330100 CAMPOS DOS GOYTACAZES";180;19;1;200
"330120 CARMO";5;1;-;6
"330130 CASIMIRO DE ABREU";6;-;-;6
"330150 CORDEIRO";11;-;-;11
"330170 DUQUE DE CAXIAS";423;31;49;503
"330185 GUAPIMIRIM";15;-;-;15
"330190 ITABORAI";1;1;-;2
"330200 ITAGUAI";1;-;-;1
"330210 ITAOCARA";1;-;-;1
"330220 ITAPERUNA";19;5;5;29
"330225 ITATIAIA";1;-;-;1
"330227 JAPERI";4;2;-;6
"330240 MACAE";106;8;1;115
"330250 MAGE";115;14;-;129
"330260 MANGARATIBA";4;-;-;4
"330270 MARICA";16;2;-;18
"330285 MESQUITA";11;5;2;18
"330300 MIRACEMA";16;1;-;17
"330310 NATIVIDADE";2;-;-;2
"330320 NILOPOLIS";40;3;-;43
"330330 NITEROI";318;115;20;453
"330340 NOVA FRIBURGO";58;13;5;76
"330350 NOVA IGUACU";102;12;6;120
"330380 PARATY";-;1;-;1
"330385 PATY DO ALFERES";5;1;-;6
"330390 PETROPOLIS";137;7;13;157
"330395 PINHEIRAL";1;1;-;2
"330400 PIRAI";45;-;-;45
"330410 PORCIUNCULA";4;-;1;5
"330411 PORTO REAL";16;1;1;18
"330415 QUISSAMA";11;1;-;12
"330420 RESENDE";79;-;8;87
"330430 RIO BONITO";34;7;-;41
"330452 RIO DAS OSTRAS";17;4;-;21
"330455 RIO DE JANEIRO";2396;1259;167;3822
"330460 SANTA MARIA MADALENA";1;-;-;1
"330470 SANTO ANTONIO DE PADUA";3;-;-;3
"330475 SAO FRANCISCO DE ITABAPOANA";9;-;-;9
"330490 SAO GONCALO";172;27;14;213
"330510 SAO JOAO DE MERITI";10;2;-;12
"330520 SAO PEDRO DA ALDEIA";20;-;-;20
"330555 SEROPEDICA";1;-;-;1
"330575 TANGUA";1;-;-;1
"330580 TERESOPOLIS";27;13;-;40
"330600 TRES RIOS";19;1;-;20
"330610 VALENCA";27;2;1;30
"330615 VARRE-SAI";3;-;-;3
"330620 VASSOURAS";16;5;2;23
"330630 VOLTA REDONDA";99;9;5;113
"350010 ADAMANTINA";37;-;11;48
"350030 AGUAI";5;-;-;5
"350070 AGUDOS";13;-;1;14
"350100 ALTINOPOLIS";2;-;-;2
"350115 ALUMINIO";2;-;-;2
"350160 AMERICANA";71;2;23;96
"350170 AMERICO BRASILIENSE";16;1;20;37
"350190 AMPARO";26;-;2;28
