"NOME_ESTACAO";"NOME_MUNIC";"UF";"ACETAL MED";"ACETAL DP";"BEN MED";"BEN DP";"BTEX MED";"BTEX DP";"CH MED";"CH DP";"CH4 MED";"CH4 DP";"CHO MED";"CHO DP";"CO MED";"CO DP";"COV MED";"COV DP";"DV MED";"DV DP";"ERT MED";"ERT DP";"Etil Benz MED";"Etil Benz DP";"FMC MED";"FMC DP";"FORMAL MED";"FORMAL DP";"H2S MED";"H2S DP";"HCT MED";"HCT DP";"HCnM MED";"HCnM DP";"M e P Xileno MED";"M e P Xileno DP";"MP10 MED";"MP10 DP";"MP2,5 MED";"MP2,5 DP";"NH3 MED";"NH3 DP";"NO MED";"NO DP";"NO2 MED";"NO2 DP";"NOx MED";"NOx DP";"O3 MED";"O3 DP";"Orto Xil MED";"Orto Xil DP";"PRESS MED";"PRESS DP";"PTS MED";"PTS DP";"Pb MED";"Pb DP";"RAD MED";"RAD DP";"SO2 MED";"SO2 DP";"SOx MED";"SOx DP";"TEMP MED";"TEMP DP";"TOL MED";"TOL DP";"U MED";"U DP";"UR MED";"UR DP";"VV MED";"VV DP";"XIL MED";"XIL DP"
Interlagos;São Paulo;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.2077;12.4765;;;;;;;7;1.56347;;;21.5933;11.8119;;;;;;;;;;;;;;;;;;;;;;;;;;
Irajá;Rio de Janeiro;RJ;;;;;;;;;2.0384;0.250858;;;0.38669;0.361188;;;160.1;82.7948;;;;;;;;;;;2.32497;0.556947;0.286364;0.517533;;;40.6025;20.3701;21.2165;14.4232;;;15.555;36.5096;30.9754;21.6691;48.2496;58.583;30.0714;26.864;;;1.35254;0.00588107;;;;;163.912;255.4;5.56938;3.09832;;;25.7996;3.77242;;;;;72.799;23.0034;0.305153;0.201847;;
Itaim Paulista;São Paulo;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29.5963;14.9332;36.1319;16.6933;;;;;;;;;23.869;10.4638;;;;;;;;;;;;;;;;;;;;;;;;;;
Itaquera;São Paulo;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.9382;11.3788;;;;;;;;;;;;;;;;;;;;;;;;;;
Jacareí;Jacareí;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.563;12.4177;;;;;;;8.18033;31.5285;;;18.8041;19.7906;;;;;;;;;;;;;;;;;;;;;;;;;;
Jardim Encantado;São José da Lapa;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;866.425;299.87;254.76;419.263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jardim Profeta;Congonhas;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.6328;36.1696;;;;;;;;;;;;;;;;;53.5702;43.3117;;;;;;;;;;;;;;;;;;;;
Jaú;Jaú;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.1808;11.103;;;;;;;;;;;18.9563;6.35792;;;;;;;;;;;;;;;;;;;;;;;;;;
Jundiaí;Jundiaí;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.4923;8.8606;25.5947;10.2815;;;;;12.0667;3.23454;;;24.6932;12.9321;;;;;;;;;;;;;;;;;;;;;;;;;;
LAMARÃO;São Sebastião do Passé;BA;;;;;;;0.035757;0.242618;;;;;;;;;169.303;82.2459;0.495361;4.51463;;;;;;;;;;;;;;;;;;;;;14.5083;76.2064;5.0306;19.0804;18.4929;78.0979;21.8268;16.7573;;;1.00875;0.00266962;;;;;148.932;209.375;1.60465;11.8407;;;24.9636;3.61003;;;78.5263;13.6619;;;1.75031;1.44078;;
LEANDRINHO;Dias d'Ávila;BA;;;;;;;;;1.61391;0.531473;;;;;;;148.536;73.9056;1.13578;3.06124;;;;;;;;;1.87259;0.62042;;;;;15.8562;11.8339;7.10341;9.99115;;;2.39511;5.99195;6.39693;3.89958;8.63133;4.48078;;;;;;;;;;;;;2.91952;19.6592;;;;;;;;;;;1.41796;1.01658;;
Lagoa Trindade Rodrigues;Paracatu;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.6627;127.642;;;;;;;;;;;;;;;;;40.1247;96.4968;;;;;;;;;;;;;;;;;;;;
